Grph,Year,Date,JulianDay,N,P,K,Ca,Mg,Mn,Fe,Al
0,1967a,1965-07-05,185,1.8,0.109687,0.402066,0.418675,0.21,363.333,305.383,424.616
0,1967a,1965-08-03,214,1.6,0.0900681,0.322898,0.637349,0.266667,496.667,202.896,368.39
0,1967a,1965-09-05,247,1.61667,0.089443,0.413718,0.743373,0.29,436.667,207.049,417.95
1,1968,1968-06-22,172,2.54082,0.208601,0.557143,0.3,0.134842,1639.18,171.429,NA
1,1968,1968-07-12,192,1.95918,0.117345,0.434694,0.353846,0.154176,1206.19,146.939,NA
1,1968,1968-07-22,202,1.92857,0.111653,0.416327,0.392308,0.154644,1051.55,110.204,NA
1,1968,1968-08-22,233,2.05102,0.0912844,0.434694,0.476923,0.155695,1484.54,143.878,NA
1,1968,1968-09-22,264,2.11224,0.101468,0.6,0.576923,0.147342,1948.45,186.735,NA
1,1966,1966-06-22,172,2.17347,0.17802,0.557143,0.330769,0.122371,2103.09,192.857,NA
1,1966,1966-07-22,202,1.77551,0.0871937,0.422449,0.423077,0.126519,1484.54,159.184,NA
1,1966,1966-08-22,233,2.05102,0.100467,0.404082,0.8,0.155695,2041.24,150,NA
1,1966,1966-09-22,264,2.02041,0.113712,0.55102,0.923077,0.147342,2721.65,162.245,NA
2,1969,1969-06-22,172,1.9697,0.130744,0.423356,0.490859,0.186029,1705.66,138.184,NA
2,1969,1969-07-12,192,1.84848,0.110072,0.424433,0.555507,0.177329,1649.29,132.634,NA
2,1969,1969-07-22,202,1.9697,0.110525,0.38254,0.651017,0.199441,1808.56,154.52,NA
2,1969,1969-08-22,233,1.75758,0.0994242,0.415193,0.725903,0.181925,1850.18,195.346,NA
2,1969,1969-09-22,264,1.72727,0.109562,0.53356,0.924967,0.223172,2169.86,181.07,NA
2,1967b,1967-06-22,172,2.48485,0.179252,0.594785,0.351177,0.186029,2262.36,220.866,NA
2,1967b,1967-07-12,192,1.9697,0.12222,0.42449,0.454878,0.177329,1835.15,141.818,NA
2,1967b,1967-07-22,202,1.87879,0.101435,0.407029,0.50373,0.190192,1437.71,261.663,NA
2,1967b,1967-08-22,233,1.72727,0.0903342,0.360034,0.625128,0.181925,1416.9,170.856,NA
2,1967b,1967-09-22,264,1.60606,0.109562,0.503005,0.762176,0.182966,2262.65,132.09,NA
